"file","category","purpose"
"build_query_manifest.py","01_data_generation","Build CDC WONDER/manual-query manifest summary from the request plan."
"parse_nchs_mcod_year.py","01_data_generation","Core fixed-width NCHS MCOD parser and ICD group logic."
"download_parse_mcod_1999_2024.py","01_data_generation","Download/copy and parse NCHS MCOD mortality files for 1999-2024."
"build_p1_age_denominators_1999_2024.py","01_data_generation","Build age denominators used for age-standardised and decomposed analyses."
"build_p1_wonder_export_package.py","01_data_generation","Prepare CDC WONDER verification query package and instructions."
"build_p1_wonder_verified_outputs.py","01_data_generation","Convert CDC WONDER exports into verified comparison outputs."
"build_p1_1999_2024_results.py","02_primary_analysis","Primary 1999-2024 MCOD node, trend, pairwise, and network analyses."
"summarize_p1_mcod_1999_2024.py","02_primary_analysis","Summarise 1999-2024 MCOD outputs into analysis tables."
"build_p1_formal_trend_models.py","02_primary_analysis","Fit formal APC/trend models with robust uncertainty."
"build_p1_high_impact_supplement_1999_2024.py","02_primary_analysis","Generate trend-model, age, decomposition, and sensitivity supplementary outputs."
"enhance_p1_network_results.py","02_primary_analysis","Generate enhanced network metrics and sensitivity contrasts."
"build_p1_covid_sensitivity.py","02_primary_analysis","COVID-period and COVID-exclusion sensitivity analyses."
"build_p1_stratified_tables.py","02_primary_analysis","Build sex, age, region, urbanisation, and place-of-death stratified tables."
"build_p1_priority7_enhancements.py","02_primary_analysis","Final priority supplementary analyses across burden, equity, geography, and terminal-event bias."
"build_p1_race_ethnicity_module_2018_2024.py","02_primary_analysis","Race/ethnicity heterogeneity module for 2018-2024."
"profile_p1_external_public_data.py","03_external_public_data_analysis","Profile NHIS/MEPS/NHANES public-use files and variable availability."
"build_p1_external_analysis_ready.py","03_external_public_data_analysis","Create analysis-ready NHIS/MEPS/NHANES files."
"build_p1_triangulation_prep.py","03_external_public_data_analysis","Prepare external public-data triangulation inputs and comparison matrix."
"analyze_p1_external_triangulation_survey.R","03_external_public_data_analysis","Survey-weighted external triangulation estimates."
"summarize_p1_external_triangulation.py","03_external_public_data_analysis","Summarise external triangulation estimates and concordance outputs."
"analyze_p1_nhis_lung_cancer_comparator.R","03_external_public_data_analysis","NHIS lung-cancer-history comparator weighted and adjusted analyses."
"summarize_p1_nhis_comparator_analysis.py","03_external_public_data_analysis","Summarise NHIS comparator estimates and associated result outputs."
"make_p1_publication_result_figures.py","04_result_figure_table_code","Generate publication-oriented result figures from analysis outputs."
"make_p1_stratified_figures.py","04_result_figure_table_code","Generate stratified result figures from analysis outputs."
